drug,pathway,Rxn_per_pathway
6-gingerol_removed_unused_genes,"Nucleotide interconversion",0.310975609756098
6-gingerol_removed_unused_genes,"Nucleotide metabolism",0
6-gingerol_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
6-gingerol_removed_unused_genes,"Nucleotide sugar metabolism",0
6-gingerol_removed_unused_genes,"O-glycan metabolism",0
6-gingerol_removed_unused_genes,"Oxidative phosphorylation",0.7
6-gingerol_removed_unused_genes,"Pentose phosphate pathway",0.24390243902439
6-gingerol_removed_unused_genes,"Peptide metabolism",0
6-gingerol_removed_unused_genes,"Phenylalanine metabolism",0.194444444444444
6-gingerol_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.05
6-gingerol_removed_unused_genes,"Propanoate metabolism",0.8
6-gingerol_removed_unused_genes,"Protein formation",0
6-gingerol_removed_unused_genes,"Purine catabolism",0.323529411764706
6-gingerol_removed_unused_genes,"Purine synthesis",0.8
6-gingerol_removed_unused_genes,"Pyrimidine catabolism",0.176470588235294
6-gingerol_removed_unused_genes,"Pyrimidine synthesis",0.523809523809524
6-gingerol_removed_unused_genes,"Pyruvate metabolism",0.40625
6-gingerol_removed_unused_genes,"R group synthesis",0.166666666666667
6-gingerol_removed_unused_genes,"ROS detoxification",0.857142857142857
6-gingerol_removed_unused_genes,"Sphingolipid metabolism",0.12781954887218
6-gingerol_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
6-gingerol_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
6-gingerol_removed_unused_genes,"Steroid metabolism",0.2
6-gingerol_removed_unused_genes,"Taurine and hypotaurine metabolism",0.25
6-gingerol_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
6-gingerol_removed_unused_genes,"Thiamine metabolism",0
6-gingerol_removed_unused_genes,"Transport, endoplasmic reticular",0.180094786729858
6-gingerol_removed_unused_genes,"Transport, extracellular",0.0776772247360483
6-gingerol_removed_unused_genes,"Transport, golgi apparatus",0.0408163265306122
6-gingerol_removed_unused_genes,"Transport, lysosomal",0.219047619047619
6-gingerol_removed_unused_genes,"Transport, mitochondrial",0.258278145695364
6-gingerol_removed_unused_genes,"Transport, nuclear",0.253521126760563
6-gingerol_removed_unused_genes,"Transport, peroxisomal",0.220779220779221
6-gingerol_removed_unused_genes,"Triacylglycerol synthesis",0.555555555555556
6-gingerol_removed_unused_genes,"Tryptophan metabolism",0.333333333333333
6-gingerol_removed_unused_genes,"Tyrosine metabolism",0.204301075268817
6-gingerol_removed_unused_genes,"Ubiquinone synthesis",0
6-gingerol_removed_unused_genes,"Urea cycle",0.225
6-gingerol_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.2
6-gingerol_removed_unused_genes,"Vitamin A metabolism",0
6-gingerol_removed_unused_genes,"Vitamin B12 metabolism",0
6-gingerol_removed_unused_genes,"Vitamin B2 metabolism",0.666666666666667
6-gingerol_removed_unused_genes,"Vitamin B6 metabolism",0
6-gingerol_removed_unused_genes,"Vitamin C metabolism",0.4
6-gingerol_removed_unused_genes,"Vitamin D metabolism",0
6-gingerol_removed_unused_genes,"Vitamin E metabolism",0.4
6-gingerol_removed_unused_genes,"Xenobiotics metabolism",0
Aconitine_removed_unused_genes,"Alanine and aspartate metabolism",0.461538461538462
Aconitine_removed_unused_genes,"Alkaloid synthesis",0
Aconitine_removed_unused_genes,"Aminosugar metabolism",0.5
Aconitine_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.153846153846154
Aconitine_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
Aconitine_removed_unused_genes,"Arginine and proline metabolism",0.275
Aconitine_removed_unused_genes,"Beta-Alanine metabolism",0.4
Aconitine_removed_unused_genes,"Bile acid synthesis",0.210810810810811
Aconitine_removed_unused_genes,"Biotin metabolism",0
Aconitine_removed_unused_genes,"Blood group synthesis",0.404255319148936
Aconitine_removed_unused_genes,"Butanoate metabolism",0
Aconitine_removed_unused_genes,"C5-branched dibasic acid metabolism",0
Aconitine_removed_unused_genes,"Cholesterol metabolism",0.433884297520661
Aconitine_removed_unused_genes,"Chondroitin sulfate degradation",0.568181818181818
Aconitine_removed_unused_genes,"Chondroitin synthesis",0.8
Aconitine_removed_unused_genes,"Citric acid cycle",0.55
Aconitine_removed_unused_genes,"CoA catabolism",0
Aconitine_removed_unused_genes,"CoA synthesis",0.0714285714285714
Aconitine_removed_unused_genes,"Cytochrome metabolism",0
Aconitine_removed_unused_genes,"D-alanine metabolism",0.333333333333333
Aconitine_removed_unused_genes,"Dietary fiber binding",0
Aconitine_removed_unused_genes,"Drug metabolism",0.0610820244328098
Aconitine_removed_unused_genes,"Eicosanoid metabolism",0.129032258064516
Aconitine_removed_unused_genes,"Exchange/demand reaction",0.0632344711807499
Aconitine_removed_unused_genes,"Fatty acid oxidation",0.345473465140479
Aconitine_removed_unused_genes,"Fatty acid synthesis",0.824267782426778
Aconitine_removed_unused_genes,"Folate metabolism",0.254237288135593
Aconitine_removed_unused_genes,"Fructose and mannose metabolism",0.478260869565217
Aconitine_removed_unused_genes,"Galactose metabolism",0.142857142857143
Aconitine_removed_unused_genes,"Glutamate metabolism",0.3125
Aconitine_removed_unused_genes,"Glutathione metabolism",0.625
Aconitine_removed_unused_genes,"Glycerophospholipid metabolism",0.193939393939394
Aconitine_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.361702127659574
Aconitine_removed_unused_genes,"Glycolysis/gluconeogenesis",0.5
Aconitine_removed_unused_genes,"Glycosphingolipid metabolism",0.267605633802817
Aconitine_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.571428571428571
Aconitine_removed_unused_genes,"Heme degradation",0.5
Aconitine_removed_unused_genes,"Heme synthesis",0.526315789473684
Aconitine_removed_unused_genes,"Heparan sulfate degradation",0
Aconitine_removed_unused_genes,"Hippurate metabolism",0
Aconitine_removed_unused_genes,"Histidine metabolism",0.285714285714286
Aconitine_removed_unused_genes,"Hyaluronan metabolism",1
Aconitine_removed_unused_genes,"Inositol phosphate metabolism",0.246153846153846
Aconitine_removed_unused_genes,"Keratan sulfate degradation",0
Aconitine_removed_unused_genes,"Keratan sulfate synthesis",0
Aconitine_removed_unused_genes,"Leukotriene metabolism",0.125
Aconitine_removed_unused_genes,"Limonene and pinene degradation",0
Aconitine_removed_unused_genes,"Linoleate metabolism",0.777777777777778
Aconitine_removed_unused_genes,"Lipoate metabolism",0
Aconitine_removed_unused_genes,"Lysine metabolism",0.32258064516129
Aconitine_removed_unused_genes,"Methionine and cysteine metabolism",0.391304347826087
Aconitine_removed_unused_genes,"Miscellaneous",0.302631578947368
Aconitine_removed_unused_genes,"N-glycan degradation",0
Aconitine_removed_unused_genes,"N-glycan metabolism",0.166666666666667
Aconitine_removed_unused_genes,"N-glycan synthesis",0.0555555555555556
Aconitine_removed_unused_genes,"NAD metabolism",0.222222222222222
Aconitine_removed_unused_genes,"Nucleotide interconversion",0.5
Aconitine_removed_unused_genes,"Nucleotide metabolism",0
Aconitine_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
Aconitine_removed_unused_genes,"Nucleotide sugar metabolism",0
Aconitine_removed_unused_genes,"O-glycan metabolism",0
Aconitine_removed_unused_genes,"Oxidative phosphorylation",0.7
Aconitine_removed_unused_genes,"Pentose phosphate pathway",0.195121951219512
Aconitine_removed_unused_genes,"Peptide metabolism",0
Aconitine_removed_unused_genes,"Phenylalanine metabolism",0.194444444444444
Aconitine_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.05
Aconitine_removed_unused_genes,"Propanoate metabolism",0.8
Aconitine_removed_unused_genes,"Protein formation",0
Aconitine_removed_unused_genes,"Purine catabolism",0.323529411764706
Aconitine_removed_unused_genes,"Purine synthesis",0.733333333333333
Aconitine_removed_unused_genes,"Pyrimidine catabolism",0.205882352941176
Aconitine_removed_unused_genes,"Pyrimidine synthesis",0.380952380952381
Aconitine_removed_unused_genes,"Pyruvate metabolism",0.375
Aconitine_removed_unused_genes,"R group synthesis",0.166666666666667
Aconitine_removed_unused_genes,"ROS detoxification",0.857142857142857
Aconitine_removed_unused_genes,"Sphingolipid metabolism",0.18796992481203
Aconitine_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
Aconitine_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
Aconitine_removed_unused_genes,"Steroid metabolism",0.0555555555555556
Aconitine_removed_unused_genes,"Taurine and hypotaurine metabolism",0
Aconitine_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
Aconitine_removed_unused_genes,"Thiamine metabolism",0
Aconitine_removed_unused_genes,"Transport, endoplasmic reticular",0.161137440758294
Aconitine_removed_unused_genes,"Transport, extracellular",0.0463800904977376
Aconitine_removed_unused_genes,"Transport, golgi apparatus",0.26530612244898
Aconitine_removed_unused_genes,"Transport, lysosomal",0.276190476190476
Aconitine_removed_unused_genes,"Transport, mitochondrial",0.242825607064018
Aconitine_removed_unused_genes,"Transport, nuclear",0.23943661971831
Aconitine_removed_unused_genes,"Transport, peroxisomal",0.24025974025974
Aconitine_removed_unused_genes,"Triacylglycerol synthesis",0.555555555555556
Aconitine_removed_unused_genes,"Tryptophan metabolism",0.333333333333333
Aconitine_removed_unused_genes,"Tyrosine metabolism",0.258064516129032
Aconitine_removed_unused_genes,"Ubiquinone synthesis",0
Aconitine_removed_unused_genes,"Urea cycle",0.225
Aconitine_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.2
Aconitine_removed_unused_genes,"Vitamin A metabolism",0
Aconitine_removed_unused_genes,"Vitamin B12 metabolism",0
Aconitine_removed_unused_genes,"Vitamin B2 metabolism",0.333333333333333
Aconitine_removed_unused_genes,"Vitamin B6 metabolism",0
Aconitine_removed_unused_genes,"Vitamin C metabolism",0
Aconitine_removed_unused_genes,"Vitamin D metabolism",0
Aconitine_removed_unused_genes,"Vitamin E metabolism",0.4
Aconitine_removed_unused_genes,"Xenobiotics metabolism",0
Acteoside_removed_unused_genes,"Alanine and aspartate metabolism",0.384615384615385
Acteoside_removed_unused_genes,"Alkaloid synthesis",0
Acteoside_removed_unused_genes,"Aminosugar metabolism",0.46875
Acteoside_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.153846153846154
Acteoside_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
Acteoside_removed_unused_genes,"Arginine and proline metabolism",0.275
Acteoside_removed_unused_genes,"Beta-Alanine metabolism",0.4
Acteoside_removed_unused_genes,"Bile acid synthesis",0.205405405405405
Acteoside_removed_unused_genes,"Biotin metabolism",0
Acteoside_removed_unused_genes,"Blood group synthesis",0
Acteoside_removed_unused_genes,"Butanoate metabolism",0
Acteoside_removed_unused_genes,"C5-branched dibasic acid metabolism",0
Acteoside_removed_unused_genes,"Cholesterol metabolism",0.417355371900826
Acteoside_removed_unused_genes,"Chondroitin sulfate degradation",0
Acteoside_removed_unused_genes,"Chondroitin synthesis",0.444444444444444
Acteoside_removed_unused_genes,"Citric acid cycle",0.55
Acteoside_removed_unused_genes,"CoA catabolism",0
Acteoside_removed_unused_genes,"CoA synthesis",0.0714285714285714
Acteoside_removed_unused_genes,"Cytochrome metabolism",0
Acteoside_removed_unused_genes,"D-alanine metabolism",0.333333333333333
Acteoside_removed_unused_genes,"Dietary fiber binding",0
Acteoside_removed_unused_genes,"Drug metabolism",0.00174520069808028
Acteoside_removed_unused_genes,"Eicosanoid metabolism",0.129032258064516
Acteoside_removed_unused_genes,"Exchange/demand reaction",0.0587576944599888
Acteoside_removed_unused_genes,"Fatty acid oxidation",0.342351716961498
Acteoside_removed_unused_genes,"Fatty acid synthesis",0.836820083682008
Acteoside_removed_unused_genes,"Folate metabolism",0.254237288135593
Acteoside_removed_unused_genes,"Fructose and mannose metabolism",0.478260869565217
Acteoside_removed_unused_genes,"Galactose metabolism",0.142857142857143
Acteoside_removed_unused_genes,"Glutamate metabolism",0.375
Acteoside_removed_unused_genes,"Glutathione metabolism",0.5625
Acteoside_removed_unused_genes,"Glycerophospholipid metabolism",0.193939393939394
Acteoside_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.25531914893617
Acteoside_removed_unused_genes,"Glycolysis/gluconeogenesis",0.452380952380952
Acteoside_removed_unused_genes,"Glycosphingolipid metabolism",0.267605633802817
Acteoside_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.642857142857143
Acteoside_removed_unused_genes,"Heme degradation",0.25
Acteoside_removed_unused_genes,"Heme synthesis",0
Acteoside_removed_unused_genes,"Heparan sulfate degradation",0
Acteoside_removed_unused_genes,"Hippurate metabolism",0
Acteoside_removed_unused_genes,"Histidine metabolism",0.285714285714286
Acteoside_removed_unused_genes,"Hyaluronan metabolism",1
Acteoside_removed_unused_genes,"Inositol phosphate metabolism",0.338461538461538
Acteoside_removed_unused_genes,"Keratan sulfate degradation",0
Acteoside_removed_unused_genes,"Keratan sulfate synthesis",0
Acteoside_removed_unused_genes,"Leukotriene metabolism",0.125
Acteoside_removed_unused_genes,"Limonene and pinene degradation",0
Acteoside_removed_unused_genes,"Linoleate metabolism",0.777777777777778
Acteoside_removed_unused_genes,"Lipoate metabolism",0
Acteoside_removed_unused_genes,"Lysine metabolism",0.419354838709677
Acteoside_removed_unused_genes,"Methionine and cysteine metabolism",0.347826086956522
Acteoside_removed_unused_genes,"Miscellaneous",0.309210526315789
Acteoside_removed_unused_genes,"N-glycan degradation",0
Acteoside_removed_unused_genes,"N-glycan metabolism",0.166666666666667
Acteoside_removed_unused_genes,"N-glycan synthesis",0.0555555555555556
Acteoside_removed_unused_genes,"NAD metabolism",0.222222222222222
Acteoside_removed_unused_genes,"Nucleotide interconversion",0.524390243902439
Acteoside_removed_unused_genes,"Nucleotide metabolism",0
Acteoside_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
Acteoside_removed_unused_genes,"Nucleotide sugar metabolism",0
Acteoside_removed_unused_genes,"O-glycan metabolism",0
Acteoside_removed_unused_genes,"Oxidative phosphorylation",0.7
Acteoside_removed_unused_genes,"Pentose phosphate pathway",0.268292682926829
Acteoside_removed_unused_genes,"Peptide metabolism",0
Acteoside_removed_unused_genes,"Phenylalanine metabolism",0.194444444444444
Acteoside_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.05
Acteoside_removed_unused_genes,"Propanoate metabolism",0.666666666666667
Acteoside_removed_unused_genes,"Protein formation",0
Acteoside_removed_unused_genes,"Purine catabolism",0.352941176470588
Acteoside_removed_unused_genes,"Purine synthesis",0.666666666666667
Acteoside_removed_unused_genes,"Pyrimidine catabolism",0.205882352941176
Acteoside_removed_unused_genes,"Pyrimidine synthesis",0.380952380952381
Acteoside_removed_unused_genes,"Pyruvate metabolism",0.40625
Acteoside_removed_unused_genes,"R group synthesis",0.166666666666667
Acteoside_removed_unused_genes,"ROS detoxification",0.857142857142857
Acteoside_removed_unused_genes,"Sphingolipid metabolism",0.172932330827068
Acteoside_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
Acteoside_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
Acteoside_removed_unused_genes,"Steroid metabolism",0.0666666666666667
Acteoside_removed_unused_genes,"Taurine and hypotaurine metabolism",0.25
Acteoside_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
Acteoside_removed_unused_genes,"Thiamine metabolism",0
